code,title,minor_code
8212,Electrical And Electronic Equipment Assemblers,821
8219,Assemblers Not Elsewhere Classified,821
8311,Locomotive Engine Drivers,831
8312,"Railway Brake, Signal And Switch Operators",831
8321,Motorcycle Drivers,832
8322,"Car, Taxi And Van Drivers",832
8323,Transport Network Vehicle Service Motorcycle Drivers,832
8324,Transport Network Vehicle Service Car Drivers,832
8325,Transport Network Vehicle Service Taxi Drivers,832
8326,Transport Network Vehicle Service Van Drivers,832
8331,Bus And Tram Drivers,833
8332,Heavy Truck And Lorry Drivers,833
8341,Mobile Farm And Forestry Plant Operators,834
8342,Earthmoving And Related Plant Operators,834
8343,"Crane, Hoist And Related Plant Operators",834
8344,Lifting Truck Operators,834
8350,Ships' Deck Crews And Related Workers,835
9111,Domestic Cleaners And Helpers,911
9112,"Cleaners And Helpers In Offices, Hotels And Other Establishments",911
9121,Hand Launderers And Pressers,912
9122,Vehicle Cleaners,912
9123,Window Cleaners,912
9129,Other Cleaning Workers,912
9211,Crop Farm Laborers,921
9212,Livestock Farm Laborers,921
9213,Mixed Crop And Livestock Farm Laborers,921
9214,Garden And Horticultural Laborers,921
9215,Forestry Laborers,921
9216,Fishery And Aquaculture Laborers,921
9311,Mining And Quarrying Laborers,931
9312,Civil Engineering Laborers,931
9313,Building Construction Laborers,931
9321,Hand Packers,932
9329,Manufacturing Laborers Not Elsewhere Classified,932
9331,Hand And Pedal Vehicle Drivers,933
9332,Drivers Of Animal-Drawn Vehicles And Machinery,933
9333,Freight Handlers,933
9334,Shelf Fillers,933
9335,Transport Network Vehicle Service Bicycle Drivers,933
9411,Fast Food Preparers,941
9412,Kitchen Helpers,941
9510,Street And Related Service Workers,951
9520,Street Vendors (Excluding Food),952
9611,Garbage And Recycling Collectors,961
9612,Refuse Sorters,961
9613,Sweepers And Related Laborers,961
9621,"Messengers, Package Deliverers And Luggage Porters",962
9622,Odd Job Persons,962
9623,Meter Readers And Vending-Machine Collectors,962
9624,Water And Firewoods Collector,962
9629,Elementary Workers Not Elsewhere Classified,962
