code,title,unit_code
213306,Environmental adviser,2133
213307,Environmental auditor,2133
213308,Environmental consultant,2133
213309,Environmental impact assessment specialist,2133
213310,Environmental planner,2133
213311,Environmental research scientist,2133
213312,Environmental scientist,2133
213313,Environmentalist,2133
213314,Water quality analyst,2133
214101,Industrial and production plant engineer,2141
214102,Industrial and production quality control engineer,2141
214103,Industrial design engineer,2141
214104,Industrial efficiency engineer,2141
214105,Industrial engineer,2141
214106,Methods engineer,2141
214107,Production engineer,2141
214108,Production planning engineer,2141
214109,Time and motion engineer,2141
214201,Civil engineer,2142
214202,Construction engineer,2142
214203,Construction site engineer,2142
214204,Geotechnical engineer,2142
214205,Hydraulics engineer,2142
214206,Soil mechanics engineer,2142
214207,Structural engineer,2142
214208,Transportation Engineer,2142
214301,Air pollution control engineer,2143
214302,Environmental analyst,2143
214303,Environmental engineer,2143
214304,Environmental remediation specialist,2143
214305,Wastewater process engineer,2143
214401,Aeronautical engineer,2144
214402,Aerospace engineer,2144
214403,Agricultural machines engineer,2144
214404,Automotive engineer,2144
214405,Biosystems engineer,2144
214406,Engine designer,2144
214407,"Heating, ventilation and aircondition engineer",2144
214408,Industrial machinery and tools engineer,2144
214409,Machinery and equipment maintenance engineer,2144
214410,Marine engineer,2144
214411,Mechanical engineer,2144
214412,Power plant engineer,2144
214501,Chemical engineer,2145
214502,Chemical process engineer,2145
214503,Fuel technologist,2145
214504,Petroleum and natural gas chemical engineer,2145
214505,Plastic technologist,2145
214506,Refinery process engineer,2145
214601,Coal mining engineer,2146
214602,Extractive metallurgist,2146
214603,Metal mining engineer,2146
214604,Metallurgical engineer,2146
214605,Metallurgist,2146
214606,Mining engineer,2146
214607,Petroleum and natural gas extraction engineer,2146
214901,Biomedical engineer,2149
214902,Ceramics engineer,2149
214903,Explosive ordinance engineer,2149
214904,Marine salvage engineer,2149
214905,Materials engineer,2149
214906,Optical engineer,2149
214907,Quantity surveyor,2149
214908,Reservoir and drilling engineer,2149
214909,Safety engineer,2149
214910,Sanitary engineer,2149
214911,Satellite engineer,2149
214912,Test engineer,2149
215101,Electric power generation engineer,2151
215102,Electrical engineer,2151
215103,Electrical failure analysis engineer,2151
215104,Electromechanical engineer,2151
215105,Photovoltaic (PV) system designer,2151
215106,Power distribution and transmission engineer,2151
215201,Computer hardware engineer,2152
215202,Electronic product test engineer,2152
215203,Electronics engineer,2152
215204,Electronics engineering technologist,2152
215205,Instrumentation engineer,2152
215301,Broadcast engineer,2153
215302,Radio engineer,2153
215303,Telecommunications engineer,2153
215304,Telecommunications engineering technologist,2153
216101,Building architect,2161
216102,Interior architect,2161
216301,Costume designer,2163
216302,Fashion designer,2163
216303,Garment designer,2163
216304,Industrial designer,2163
216305,Jewelry designer,2163
216401,City planner,2164
216402,Land planner,2164
216403,Town planner,2164
216404,Traffic planner,2164
216405,Urban planner,2164
216501,Aerial surveyor,2165
216502,Cadastral surveyor,2165
216503,Cartographer,2165
216504,Geodesist,2165
