unit_code,related_unit_code,related_occupation_title
6226,1312,Fishing operations manager
6226,6229,Oyster diver
6227,6226,Coastal fishery skipper
6227,6226,Coastal waters fisher
6227,9216,Fishery laborer
6227,1312,Fishing operations manager
6227,6226,Inland waters fisher
6310,9211,Crop farm laborer
6310,9624,Firewood collector
6310,9624,Water collector
6320,9212,Livestock farm laborer
6320,9213,Mixed crop and livestock farm laborers
6320,9624,Water and firewood collector –
6340,9212,Livestock farm laborer –
6340,6310,Subsistence crop farmer
6340,6320,Subsistence livestock farmer
6340,9624,Water and firewood collector –
7111,1323,Construction project manager
7111,3123,Construction supervisor
7111,1323,Project builder
7113,8112,Stone cutting or processing machine operator
7113,7122,Wall and floor tiler
7114,8114,Concrete finishing machine operator
7114,8342,Road surface laying machinery operator
7115,7522,Furniture and cabinet maker
7115,7522,Wheel-wright
7119,9313,Building work construction laborer
7119,9313,Demolition laborer
7125,7315,Glass cutter
7125,7315,Glass finisher
7127,7126,Plumbers and pipe filters
7127,7126,Ventilation pipe fitter
7132,7131,Building painter
7132,7316,Decorative painter
7132,8122,Metal coating machine operator
7132,7316,Signwriter
7132,7521,Wood treater
7133,9129,Graffiti cleaner
7133,9129,Water blaster
7215,8189,Cable and rope splicing machine operator
7215,8343,"Crane, hoist and related plant operators"
7221,7223,Casting machine operator
7221,7223,Machine tool operator
7223,8211,"Machine-operator, drilling/metal"
7223,8211,"Machine-operator, grinding/metal"
7223,8211,"Machine-operator, machine tool"
7224,8122,Metal finishing machine operator
7224,8122,Metal polishing machine operator
7231,7412,Automotive electrician
7231,7234,Bicycle repairer
7231,7412,Electrical mechanic
7231,8211,Motor vehicle engine assembler
7232,2144,Aeronautical engineer
7232,8211,Aircraft engine assembler
7232,7421,Avionics aircraft maintenance engineer
7232,7421,Avionics technician
7233,7127,Air conditioning equipment mechanic
7233,7412,Electrical mechanic
7233,8211,Mechanical machinery assembler
7234,7231,Moped repairer
7234,7231,Motorized rickshaw mechanic
7311,7222,Locksmith
7311,7223,Machine tool operator
7311,3214,Orthopedic appliance maker
7311,8212,Watch assembler
7314,8181,Brick and tile kiln operator
7314,2651,Ceramic artist
7314,8181,Pottery and porcelain kiln operator
7316,7131,Building painter
7316,8181,Ceramics painting machine operator
7316,8181,Glass painting machine operator
7316,7132,Manufactured articles painter
7316,7132,Vehicle painter
7317,8114,Stone products machine operator
7317,7523,Wood products machine operator
7318,8152,Knitting machine operator
7318,8151,Textile fiber combing machine operator
7318,8152,Weaving machine operator
7411,7412,Electrical fitter
7411,7413,Electrical line installer
7411,7412,Electrical mechanic
7412,8212,Electrical equipment assembler
7412,7421,Electronics mechanic
7413,7422,Data and telecommunications cabler
7413,7422,Telecommunications line worker
7414,5245,Electric vehicle (EV) charging service  personnel/attendant
7414,3113,Electric vehicle (EV) electrical service technician
7414,3257,Electric vehicle (EV) fleet and depot safety officer
7414,3115,Electric vehicle (EV) mechanical service technician
7414,3119,Electric vehicle (EV) test technician
7414,3113,Electric vehicle supply equipment (EVSE) installation technician
7414,3119,Motor vehicle inspection system (MVIS) electric vehicle (EV) testing specialist
7511,8160,Fish processing machine operator
7511,8160,Meat processing machine operator
7511,5221,Shop keeper
7512,8160,Bakery products machine operator
7512,8160,Bread production machine operator
7512,8160,Chocolate production machine operator
7512,5120,Cook
7513,8160,Dairy products machine operator
