code,name,province_code,type,is_independent
148103,Flora,1481,municipality,False
148104,Kabugao,1481,municipality,False
148105,Luna,1481,municipality,False
148106,Pudtol,1481,municipality,False
148107,Santa Marcela,1481,municipality,False
150702,City of Lamitan,1507,component city,False
150703,Lantawan,1507,municipality,False
150704,Maluso,1507,municipality,False
150705,Sumisip,1507,municipality,False
150706,Tipo-Tipo,1507,municipality,False
150707,Tuburan,1507,municipality,False
150708,Akbar,1507,municipality,False
150709,Al-Barka,1507,municipality,False
150710,Hadji Mohammad Ajul,1507,municipality,False
150711,Ungkaya Pukan,1507,municipality,False
150712,Hadji Muhtamad,1507,municipality,False
150713,Tabuan-Lasa,1507,municipality,False
153601,Bacolod-Kalawi,1536,municipality,False
153602,Balabagan,1536,municipality,False
153603,Balindong,1536,municipality,False
153604,Bayang,1536,municipality,False
153605,Binidayan,1536,municipality,False
153606,Bubong,1536,municipality,False
153607,Butig,1536,municipality,False
153609,Ganassi,1536,municipality,False
153610,Kapai,1536,municipality,False
153611,Lumba-Bayabao,1536,municipality,False
153612,Lumbatan,1536,municipality,False
153613,Madalum,1536,municipality,False
153614,Madamba,1536,municipality,False
153615,Malabang,1536,municipality,False
153616,Marantao,1536,municipality,False
153617,City of Marawi,1536,component city,False
153618,Masiu,1536,municipality,False
153619,Mulondo,1536,municipality,False
153620,Pagayawan,1536,municipality,False
153621,Piagapo,1536,municipality,False
153622,Poona Bayabao,1536,municipality,False
153623,Pualas,1536,municipality,False
153624,Ditsaan-Ramain,1536,municipality,False
153625,Saguiaran,1536,municipality,False
153626,Tamparan,1536,municipality,False
153627,Taraka,1536,municipality,False
153628,Tubaran,1536,municipality,False
153629,Tugaya,1536,municipality,False
153630,Wao,1536,municipality,False
153631,Marogong,1536,municipality,False
153632,Calanogas,1536,municipality,False
153633,Buadiposo-Buntong,1536,municipality,False
153634,Maguing,1536,municipality,False
153635,Picong,1536,municipality,False
153636,Lumbayanague,1536,municipality,False
153637,Amai Manabilang,1536,municipality,False
153638,Tagoloan Ii,1536,municipality,False
153639,Kapatagan,1536,municipality,False
153640,Sultan Dumalondong,1536,municipality,False
153641,Lumbaca-Unayan,1536,municipality,False
153801,Ampatuan,1538,municipality,False
153802,Buldon,1538,municipality,False
153803,Buluan,1538,municipality,False
153805,Datu Paglas,1538,municipality,False
153806,Datu Piang,1538,municipality,False
153807,Datu Odin Sinsuat,1538,municipality,False
153808,Shariff Aguak,1538,municipality,False
153809,Matanog,1538,municipality,False
153810,Pagalungan,1538,municipality,False
153811,Parang,1538,municipality,False
153812,Sultan Kudarat,1538,municipality,False
153813,Sultan Sa Barongis,1538,municipality,False
153814,Kabuntalan,1538,municipality,False
153815,Upi,1538,municipality,False
153816,Talayan,1538,municipality,False
153817,South Upi,1538,municipality,False
153818,Barira,1538,municipality,False
153819,Gen. S.K. Pendatun,1538,municipality,False
153820,Mamasapano,1538,municipality,False
153821,Talitay,1538,municipality,False
153822,Pagagawan,1538,municipality,False
153823,Paglat,1538,municipality,False
153824,Sultan Mastura,1538,municipality,False
153825,Guindulungan,1538,municipality,False
153826,Datu Saudi Ampatuan,1538,municipality,False
153827,Datu Unsay,1538,municipality,False
153828,Datu Abdullah Sangki,1538,municipality,False
153829,Rajah Buayan,1538,municipality,False
153830,Datu Blah T. Sinsuat,1538,municipality,False
153831,Datu Anggal Midtimbang,1538,municipality,False
153832,Mangudadatu,1538,municipality,False
153833,Pandag,1538,municipality,False
153834,Northern Kabuntalan,1538,municipality,False
153835,Datu Hoffer Ampatuan,1538,municipality,False
153836,Datu Salibo,1538,municipality,False
153837,Shariff Saydona Mustapha,1538,municipality,False
156601,Indanan,1566,municipality,False
156602,Jolo,1566,municipality,False
156603,Kalingalan Caluang,1566,municipality,False
156604,Luuk,1566,municipality,False
156605,Maimbung,1566,municipality,False
156606,Hadji Panglima Tahil,1566,municipality,False
156607,Old Panamao,1566,municipality,False
156608,Pangutaran,1566,municipality,False
156609,Parang,1566,municipality,False
156610,Pata,1566,municipality,False
156611,Patikul,1566,municipality,False
156612,Siasi,1566,municipality,False
156613,Talipao,1566,municipality,False
156614,Tapul,1566,municipality,False
156615,Tongkil,1566,municipality,False
156616,Panglima Estino,1566,municipality,False
156617,Lugus,1566,municipality,False
156618,Pandami,1566,municipality,False
156619,Omar,1566,municipality,False
157001,Panglima Sugala,1570,municipality,False
157002,Bongao,1570,municipality,False
157003,Mapun,1570,municipality,False
157004,Simunul,1570,municipality,False
157005,Sitangkai,1570,municipality,False
157006,South Ubian,1570,municipality,False
157007,Tandubas,1570,municipality,False
157008,Turtle Islands,1570,municipality,False
157009,Languyan,1570,municipality,False
157010,Sapa-Sapa,1570,municipality,False
157011,Sibutu,1570,municipality,False
160201,Buenavista,1602,municipality,False
160202,City of Butuan,1602,highly urbanized city,True
160203,City of Cabadbaran,1602,component city,False
160204,Carmen,1602,municipality,False
160205,Jabonga,1602,municipality,False
160206,Kitcharao,1602,municipality,False
160207,Las Nieves,1602,municipality,False
160208,Magallanes,1602,municipality,False
160209,Nasipit,1602,municipality,False
160210,Santiago,1602,municipality,False
160211,Tubay,1602,municipality,False
160212,Remedios T. Romualdez,1602,municipality,False
160301,City of Bayugan,1603,component city,False
160302,Bunawan,1603,municipality,False
